club_key,grade_key,display_name,squad_number,playhq_id
norwood-netball-club,amnd-winter-2022-a-grade,Newton Jaguars,,04d28ffa
reynella-netball-club,amnd-winter-2022-a-grade,Reynella,,24e646c0
south-adelaide-netball-club,amnd-winter-2022-a-grade,South Adelaide,,2e5496d3
walkerville,amnd-winter-2022-a-grade,Walkerville,,5796242d
contax,amnd-winter-2022-a-grade,Contax,,985d8f50
cheerio-netball-club,amnd-winter-2022-a-grade,Cheerio,,bb5eb4cd
metro-jets,amnd-winter-2022-a-grade,Metro Jets,,c8752297
tango-netball-club-inc,amnd-winter-2022-a-grade,Tango,,cb1a435b
matrics,amnd-winter-2022-a-grade,Matrics,,f961d9d8
adelaide-wildcats,amnd-winter-2022-a-grade,Adelaide Wildcats,,fc0541a1
contax,amnd-winter-2022-amnd,Contax,,2399ca93
tango-netball-club-inc,amnd-winter-2022-amnd,Tango,,279e377b
garville,amnd-winter-2022-amnd,Garville,,28271f3c
oakdale-netball-club-sa,amnd-winter-2022-amnd,Oakdale,,422649cc
norwood-netball-club,amnd-winter-2022-amnd,Newton Jaguars,,4f163b47
central-district-netball-club,amnd-winter-2022-amnd,Central District,,5ccdc1b3
south-adelaide-netball-club,amnd-winter-2022-amnd,South Adelaide,,7a7deb52
matrics,amnd-winter-2022-amnd,Matrics,,c635d1ba
metro-jets,amnd-winter-2022-amnd,Metro Jets,,de894a67
walkerville,amnd-winter-2022-amnd,Walkerville,,eedda171
matrics,amnd-winter-2022-b1,Matrics,,0578fbcf
contax,amnd-winter-2022-b1,Contax,,1325ab1f
oakdale-netball-club-sa,amnd-winter-2022-b1,Oakdale,,261e0280
sacred-heart-o-c,amnd-winter-2022-b1,SHOCS,,2d7b2bf1
walkerville,amnd-winter-2022-b1,Walkerville,,32c78002
reynella-netball-club,amnd-winter-2022-b1,Reynella,,374d05f7
central-district-netball-club,amnd-winter-2022-b1,Central District,,6e809613
pembroke-o-s,amnd-winter-2022-b1,Pembroke OS,,b9d07645
old-ignatians,amnd-winter-2022-b1,Old Ignatians,,e02ccab2
garville,amnd-winter-2022-b1,Garville,,f626c5d4
contax,amnd-winter-2022-b2,Contax 2,2,22f5ce18
walkerville,amnd-winter-2022-b2,Walkerville 1,1,2a58b5f7
sacred-heart-o-c,amnd-winter-2022-b2,SHOCS,,56e1f0ca
south-adelaide-netball-club,amnd-winter-2022-b2,South Adelaide,,613389b4
contax,amnd-winter-2022-b2,Contax 1,1,8b31a596
matrics,amnd-winter-2022-b2,Matrics,,9635a290
adelaide-university,amnd-winter-2022-b2,Adelaide University,,ab61e47b
walkerville,amnd-winter-2022-b2,Walkerville 2,2,b90546b4
walkerville,amnd-winter-2022-b3,Walkerville 2,2,2e2c1ff4
adelaide-university,amnd-winter-2022-b3,Adelaide University 1,1,66855d17
adelaide-university,amnd-winter-2022-b3,Adelaide University 2,2,74fcb6e0
pembroke-o-s,amnd-winter-2022-b3,Pembroke OS,,7e5671d9
walkerville,amnd-winter-2022-b3,Walkerville 1,1,b8c3ab12
matrics,amnd-winter-2022-b3,Matrics,,c30d7826
norwood-netball-club,amnd-winter-2022-b3,Newton Jaguars,,d22fda33
city-coasters,amnd-winter-2022-b3,City Coasters,,dc10622d
oakdale-netball-club-sa,amnd-winter-2022-b3,Oakdale,,e593cf79
old-ignatians,amnd-winter-2022-b3,Old Ignatians,,e8d18a91
oakdale-netball-club-sa,amnd-winter-2022-b4,Oakdale,,0697cc2d
walkerville,amnd-winter-2022-b4,Walkerville 2,2,07d58cee
walkerville,amnd-winter-2022-b4,Walkerville 1,1,2ba15a15
garville,amnd-winter-2022-b4,Garville,,53243726
cheerio-netball-club,amnd-winter-2022-b4,Cheerio,,624898b1
metro-jets,amnd-winter-2022-b4,Metro Jets,,81334190
city-coasters,amnd-winter-2022-b4,City Coasters,,82cffa66
adelaide-wildcats,amnd-winter-2022-b4,Adelaide Wildcats,,e88d60d5
adelaide-university,amnd-winter-2022-b5,Adelaide University,,49d4c14b
