season_key,grade_key,name,tier,division,team_count,age_band,playhq_id
amnd-winter-2022,amnd-winter-2022-a-grade,A GRADE,4,,10,Senior,a26d8d2c
amnd-winter-2022,amnd-winter-2022-amnd,AMND,3,,10,Senior,d8b796bc
amnd-winter-2022,amnd-winter-2022-b1,B1,5,1,10,Senior,e50b7509
amnd-winter-2022,amnd-winter-2022-b2,B2,5,2,8,Senior,f7a518e3
amnd-winter-2022,amnd-winter-2022-b3,B3,5,3,10,Senior,c251c70f
amnd-winter-2022,amnd-winter-2022-b4,B4,5,4,8,Senior,37783937
amnd-winter-2022,amnd-winter-2022-b5,B5,5,5,8,Senior,c6a16ce5
amnd-winter-2022,amnd-winter-2022-c1,C1,7,1,6,Senior,72a42d05
amnd-winter-2022,amnd-winter-2022-c2,C2,7,2,6,Senior,43848fd7
amnd-winter-2022,amnd-winter-2022-c3,C3,7,3,8,Senior,54f28abb
amnd-winter-2022,amnd-winter-2022-c4,C4,7,4,6,Senior,d8c600cc
amnd-winter-2022,amnd-winter-2022-c6,C6,7,6,6,Senior,17d31cb7
amnd-winter-2022,amnd-winter-2022-inter-1,INTER 1,6,1,8,Intermediate,764aadde
amnd-winter-2022,amnd-winter-2022-inter-2,INTER 2,6,2,6,Intermediate,5b210b19
amnd-winter-2022,amnd-winter-2022-inter-3,INTER 3,6,3,8,Intermediate,2d5f27e5
amnd-winter-2022,amnd-winter-2022-inter-4,INTER 4,6,4,8,Intermediate,82b87176
amnd-winter-2022,amnd-winter-2022-inter-5,INTER 5,6,5,8,Intermediate,c546a782
amnd-winter-2022,amnd-winter-2022-junior-1,Junior 1,8,1,8,Junior,1622f47e
amnd-winter-2022,amnd-winter-2022-junior-2,Junior 2,8,2,6,Junior,bbc204d1
amnd-winter-2022,amnd-winter-2022-junior-3,Junior 3,8,3,6,Junior,38aabc50
amnd-winter-2022,amnd-winter-2022-junior-4,Junior 4,8,4,8,Junior,2652260a
amnd-winter-2022,amnd-winter-2022-junior-5,Junior 5,8,5,8,Junior,9ccae20a
amnd-winter-2022,amnd-winter-2022-junior-6,Junior 6,8,6,8,Junior,a43406b6
amnd-winter-2022,amnd-winter-2022-junior-7,Junior 7,8,7,7,Junior,a8ba1faf
amnd-winter-2022,amnd-winter-2022-junior-8,Junior 8,8,8,6,Junior,7f3b5b5e
amnd-winter-2022,amnd-winter-2022-primary-1,Primary 1,10,1,6,Junior,1fac3733
amnd-winter-2022,amnd-winter-2022-primary-2,Primary 2,10,2,6,Junior,853dc29a
amnd-winter-2022,amnd-winter-2022-primary-3,Primary 3,10,3,8,Junior,6e506e45
amnd-winter-2022,amnd-winter-2022-primary-4,Primary 4,10,4,8,Junior,3bac948d
amnd-winter-2022,amnd-winter-2022-primary-5,Primary 5,10,5,8,Junior,27bdba14
amnd-winter-2022,amnd-winter-2022-primary-6,Primary 6,10,6,8,Junior,620f3044
amnd-winter-2022,amnd-winter-2022-sub-junior-1,Sub Junior 1,9,1,8,Junior,97586cda
amnd-winter-2022,amnd-winter-2022-sub-junior-2,Sub Junior 2,9,2,8,Junior,8678c01e
amnd-winter-2022,amnd-winter-2022-sub-junior-3,Sub Junior 3,9,3,6,Junior,dee465e3
amnd-winter-2022,amnd-winter-2022-sub-junior-4,Sub Junior 4,9,4,6,Junior,6c5beee8
amnd-winter-2022,amnd-winter-2022-sub-junior-5,Sub Junior 5,9,5,8,Junior,9629a87b
amnd-winter-2022,amnd-winter-2022-sub-junior-6,Sub Junior 6,9,6,7,Junior,ceb9430a
amnd-winter-2022,amnd-winter-2022-sub-junior-7,Sub Junior 7,9,7,8,Junior,9b0b41b9
amnd-winter-2023,amnd-winter-2023-a-grade,A GRADE,4,,10,Senior,c0ad01ba
amnd-winter-2023,amnd-winter-2023-amnd,AMND,3,,10,Senior,9ee6fdf8
amnd-winter-2023,amnd-winter-2023-b1,B1,5,1,8,Senior,8c1215b4
amnd-winter-2023,amnd-winter-2023-b2,B2,5,2,6,Senior,b26b6921
amnd-winter-2023,amnd-winter-2023-b3,B3,5,3,8,Senior,39afc02c
